"region";"ålder";"kön";"2023"
"Sigtuna (Rosersberg)";"totalt";"män";976
"Sigtuna (Rosersberg)";"totalt";"kvinnor";952
"Sigtuna (Rosersberg)";"totalt";"totalt";1928
"Sigtuna (Sigtuna centrala)";"totalt";"män";1141
"Sigtuna (Sigtuna centrala)";"totalt";"kvinnor";1189
"Sigtuna (Sigtuna centrala)";"totalt";"totalt";2330
"Sigtuna (Sigtuna norra)";"totalt";"män";969
"Sigtuna (Sigtuna norra)";"totalt";"kvinnor";929
"Sigtuna (Sigtuna norra)";"totalt";"totalt";1898
"Sigtuna (Sjudargården-Prästängarna)";"totalt";"män";1472
"Sigtuna (Sjudargården-Prästängarna)";"totalt";"kvinnor";1555
"Sigtuna (Sjudargården-Prästängarna)";"totalt";"totalt";3027
"Sigtuna (Skånela-Steningevik omland)";"totalt";"män";1019
"Sigtuna (Skånela-Steningevik omland)";"totalt";"kvinnor";907
"Sigtuna (Skånela-Steningevik omland)";"totalt";"totalt";1926
"Sigtuna (Steningehöjden-Ölsta by)";"totalt";"män";2055
"Sigtuna (Steningehöjden-Ölsta by)";"totalt";"kvinnor";1990
"Sigtuna (Steningehöjden-Ölsta by)";"totalt";"totalt";4045
"Sigtuna (Sätuna)";"totalt";"män";925
"Sigtuna (Sätuna)";"totalt";"kvinnor";823
"Sigtuna (Sätuna)";"totalt";"totalt";1748
"Sigtuna (Södra Valsta)";"totalt";"män";1398
"Sigtuna (Södra Valsta)";"totalt";"kvinnor";1268
"Sigtuna (Södra Valsta)";"totalt";"totalt";2666
"Sigtuna (Til-Munkholmen)";"totalt";"män";637
"Sigtuna (Til-Munkholmen)";"totalt";"kvinnor";601
"Sigtuna (Til-Munkholmen)";"totalt";"totalt";1238
"Sigtuna (Tingvalla)";"totalt";"män";1354
"Sigtuna (Tingvalla)";"totalt";"kvinnor";1109
"Sigtuna (Tingvalla)";"totalt";"totalt";2463
"Sigtuna (Västra Valsta)";"totalt";"män";1135
"Sigtuna (Västra Valsta)";"totalt";"kvinnor";1073
"Sigtuna (Västra Valsta)";"totalt";"totalt";2208
"Sigtuna (Östra Norrbacka)";"totalt";"män";1142
"Sigtuna (Östra Norrbacka)";"totalt";"kvinnor";1122
"Sigtuna (Östra Norrbacka)";"totalt";"totalt";2264
"Sigtuna (Östra Steninge)";"totalt";"män";1224
"Sigtuna (Östra Steninge)";"totalt";"kvinnor";1203
"Sigtuna (Östra Steninge)";"totalt";"totalt";2427
"Sigtuna (Östra Valsta)";"totalt";"män";1112
"Sigtuna (Östra Valsta)";"totalt";"kvinnor";1100
"Sigtuna (Östra Valsta)";"totalt";"totalt";2212
"Nynäshamn (Nynäshamns nordöstra kommundel)";"totalt";"män";2102
"Nynäshamn (Nynäshamns nordöstra kommundel)";"totalt";"kvinnor";1919
"Nynäshamn (Nynäshamns nordöstra kommundel)";"totalt";"totalt";4021
"Nynäshamn (Nynäshamns stad-norra)";"totalt";"män";1737
"Nynäshamn (Nynäshamns stad-norra)";"totalt";"kvinnor";1601
"Nynäshamn (Nynäshamns stad-norra)";"totalt";"totalt";3338
"Nynäshamn (Nynäshamns stad-södra)";"totalt";"män";2145
"Nynäshamn (Nynäshamns stad-södra)";"totalt";"kvinnor";2075
"Nynäshamn (Nynäshamns stad-södra)";"totalt";"totalt";4220
"Nynäshamn (Nynäshamns stad-västra)";"totalt";"män";1820
"Nynäshamn (Nynäshamns stad-västra)";"totalt";"kvinnor";1812
"Nynäshamn (Nynäshamns stad-västra)";"totalt";"totalt";3632
"Nynäshamn (Nynäshamns stad-östra)";"totalt";"män";2519
"Nynäshamn (Nynäshamns stad-östra)";"totalt";"kvinnor";2766
"Nynäshamn (Nynäshamns stad-östra)";"totalt";"totalt";5285
"Nynäshamn (Nynäshamns södra kommundel)";"totalt";"män";896
"Nynäshamn (Nynäshamns södra kommundel)";"totalt";"kvinnor";822
"Nynäshamn (Nynäshamns södra kommundel)";"totalt";"totalt";1718
"Nynäshamn (Nynäshamns västra kommundel)";"totalt";"män";1955
"Nynäshamn (Nynäshamns västra kommundel)";"totalt";"kvinnor";1818
"Nynäshamn (Nynäshamns västra kommundel)";"totalt";"totalt";3773
"Nynäshamn (Ösmo centrala)";"totalt";"män";2246
"Nynäshamn (Ösmo centrala)";"totalt";"kvinnor";2078
"Nynäshamn (Ösmo centrala)";"totalt";"totalt";4324
"Håbo (Centrala Bålsta-Mansängen)";"totalt";"män";1083
"Håbo (Centrala Bålsta-Mansängen)";"totalt";"kvinnor";1116
"Håbo (Centrala Bålsta-Mansängen)";"totalt";"totalt";2199
"Håbo (Dyarne-Fånäs-Kalmarsand)";"totalt";"män";761
"Håbo (Dyarne-Fånäs-Kalmarsand)";"totalt";"kvinnor";765
"Håbo (Dyarne-Fånäs-Kalmarsand)";"totalt";"totalt";1526
"Håbo (Håbo landsbygd )";"totalt";"män";1478
"Håbo (Håbo landsbygd )";"totalt";"kvinnor";1319
"Håbo (Håbo landsbygd )";"totalt";"totalt";2797
"Håbo (Norra Ullevi-Södra Ullevi-Åsen)";"totalt";"män";834
"Håbo (Norra Ullevi-Södra Ullevi-Åsen)";"totalt";"kvinnor";772
"Håbo (Norra Ullevi-Södra Ullevi-Åsen)";"totalt";"totalt";1606
"Håbo (Skörby-Gillmarken-Åkerby)";"totalt";"män";1257
"Håbo (Skörby-Gillmarken-Åkerby)";"totalt";"kvinnor";1121
"Håbo (Skörby-Gillmarken-Åkerby)";"totalt";"totalt";2378
"Håbo (Slottsskogen-Söderskogen)";"totalt";"män";1131
"Håbo (Slottsskogen-Söderskogen)";"totalt";"kvinnor";1065
"Håbo (Slottsskogen-Söderskogen)";"totalt";"totalt";2196
"Håbo (Södra Bålsta-Kalmar landsbygd)";"totalt";"män";1618
"Håbo (Södra Bålsta-Kalmar landsbygd)";"totalt";"kvinnor";1536
"Håbo (Södra Bålsta-Kalmar landsbygd)";"totalt";"totalt";3154
"Håbo (Västerdalen-Eneby-Väppebyberget)";"totalt";"män";1471
"Håbo (Västerdalen-Eneby-Väppebyberget)";"totalt";"kvinnor";1536
"Håbo (Västerdalen-Eneby-Väppebyberget)";"totalt";"totalt";3007
"Håbo (Västerhagen-Västerängen)";"totalt";"män";1284
"Håbo (Västerhagen-Västerängen)";"totalt";"kvinnor";1363
"Håbo (Västerhagen-Västerängen)";"totalt";"totalt";2647
"Håbo (Västerskog-Graneberg)";"totalt";"män";731
"Håbo (Västerskog-Graneberg)";"totalt";"kvinnor";733
"Håbo (Västerskog-Graneberg)";"totalt";"totalt";1464
"Älvkarleby (Skutskär centrala-Skutskär nordvästra)";"totalt";"män";1235
"Älvkarleby (Skutskär centrala-Skutskär nordvästra)";"totalt";"kvinnor";1250
"Älvkarleby (Skutskär centrala-Skutskär nordvästra)";"totalt";"totalt";2485
"Älvkarleby (Skutskär nordöstra)";"totalt";"män";1059
"Älvkarleby (Skutskär nordöstra)";"totalt";"kvinnor";1030
"Älvkarleby (Skutskär nordöstra)";"totalt";"totalt";2089
"Älvkarleby (Skutskär södra)";"totalt";"män";923
"Älvkarleby (Skutskär södra)";"totalt";"kvinnor";848
"Älvkarleby (Skutskär södra)";"totalt";"totalt";1771
"Älvkarleby (Älvkarleby)";"totalt";"män";788
"Älvkarleby (Älvkarleby)";"totalt";"kvinnor";824
"Älvkarleby (Älvkarleby)";"totalt";"totalt";1612
"Älvkarleby (Älvkarlebys omland)";"totalt";"män";861
"Älvkarleby (Älvkarlebys omland)";"totalt";"kvinnor";754
"Älvkarleby (Älvkarlebys omland)";"totalt";"totalt";1615
"Knivsta (Alsike norra)";"totalt";"män";1230
"Knivsta (Alsike norra)";"totalt";"kvinnor";1222
"Knivsta (Alsike norra)";"totalt";"totalt";2452
"Knivsta (Alsike östra)";"totalt";"män";1511
"Knivsta (Alsike östra)";"totalt";"kvinnor";1461
"Knivsta (Alsike östra)";"totalt";"totalt";2972
"Knivsta (Knivsta centrala)";"totalt";"män";1748
"Knivsta (Knivsta centrala)";"totalt";"kvinnor";1802
"Knivsta (Knivsta centrala)";"totalt";"totalt";3550
"Knivsta (Knivsta södra)";"totalt";"män";1059
"Knivsta (Knivsta södra)";"totalt";"kvinnor";1054
"Knivsta (Knivsta södra)";"totalt";"totalt";2113
"Knivsta (Knivsta västra)";"totalt";"män";1175
"Knivsta (Knivsta västra)";"totalt";"kvinnor";1162
"Knivsta (Knivsta västra)";"totalt";"totalt";2337
"Knivsta (Knivsta östra)";"totalt";"män";940
"Knivsta (Knivsta östra)";"totalt";"kvinnor";916
"Knivsta (Knivsta östra)";"totalt";"totalt";1856
"Knivsta (Lagga-Långhundra)";"totalt";"män";1936
"Knivsta (Lagga-Långhundra)";"totalt";"kvinnor";1720
"Knivsta (Lagga-Långhundra)";"totalt";"totalt";3656
"Knivsta (Vassunda)";"totalt";"män";921
"Knivsta (Vassunda)";"totalt";"kvinnor";857
"Knivsta (Vassunda)";"totalt";"totalt";1778
"Heby (Heby omland)";"totalt";"män";937
"Heby (Heby omland)";"totalt";"kvinnor";830
"Heby (Heby omland)";"totalt";"totalt";1767
"Heby (Heby västra)";"totalt";"män";905
"Heby (Heby västra)";"totalt";"kvinnor";883
"Heby (Heby västra)";"totalt";"totalt";1788
"Heby (Heby östra)";"totalt";"män";641
"Heby (Heby östra)";"totalt";"kvinnor";632
"Heby (Heby östra)";"totalt";"totalt";1273
"Heby (Morgongåva tätort)";"totalt";"män";803
"Heby (Morgongåva tätort)";"totalt";"kvinnor";762
"Heby (Morgongåva tätort)";"totalt";"totalt";1565
"Heby (Nora-Harbo omland)";"totalt";"män";1332
"Heby (Nora-Harbo omland)";"totalt";"kvinnor";1216
"Heby (Nora-Harbo omland)";"totalt";"totalt";2548
"Heby (Tärnsjö tätort)";"totalt";"män";653
"Heby (Tärnsjö tätort)";"totalt";"kvinnor";631
"Heby (Tärnsjö tätort)";"totalt";"totalt";1284
"Heby (Vittinge omland)";"totalt";"män";566
"Heby (Vittinge omland)";"totalt";"kvinnor";565
"Heby (Vittinge omland)";"totalt";"totalt";1131
"Heby (Östervåla omland)";"totalt";"män";545
"Heby (Östervåla omland)";"totalt";"kvinnor";463
"Heby (Östervåla omland)";"totalt";"totalt";1008
"Heby (Östervåla tätort)";"totalt";"män";957
"Heby (Östervåla tätort)";"totalt";"kvinnor";1022
"Heby (Östervåla tätort)";"totalt";"totalt";1979
"Tierp (Karlholm)";"totalt";"män";666
"Tierp (Karlholm)";"totalt";"kvinnor";644
"Tierp (Karlholm)";"totalt";"totalt";1310
"Tierp (Mehedeby-Tobo)";"totalt";"män";1656
"Tierp (Mehedeby-Tobo)";"totalt";"kvinnor";1530
"Tierp (Mehedeby-Tobo)";"totalt";"totalt";3186
"Tierp (Månkarbo-Vendel)";"totalt";"män";1211
"Tierp (Månkarbo-Vendel)";"totalt";"kvinnor";1119
"Tierp (Månkarbo-Vendel)";"totalt";"totalt";2330
"Tierp (Skärplinge-Hållnäs)";"totalt";"män";1395
"Tierp (Skärplinge-Hållnäs)";"totalt";"kvinnor";1301
"Tierp (Skärplinge-Hållnäs)";"totalt";"totalt";2696
"Tierp (Söderfors)";"totalt";"män";868
"Tierp (Söderfors)";"totalt";"kvinnor";778
"Tierp (Söderfors)";"totalt";"totalt";1646
"Tierp (Tierp Centrum-Tierp Norra)";"totalt";"män";1765
"Tierp (Tierp Centrum-Tierp Norra)";"totalt";"kvinnor";1757
"Tierp (Tierp Centrum-Tierp Norra)";"totalt";"totalt";3522
"Tierp (Tierp Södra)";"totalt";"män";1400
"Tierp (Tierp Södra)";"totalt";"kvinnor";1502
"Tierp (Tierp Södra)";"totalt";"totalt";2902
"Tierp (Västland)";"totalt";"män";586
"Tierp (Västland)";"totalt";"kvinnor";533
"Tierp (Västland)";"totalt";"totalt";1119
"Tierp (Örbyhus)";"totalt";"män";1225
"Tierp (Örbyhus)";"totalt";"kvinnor";1257
"Tierp (Örbyhus)";"totalt";"totalt";2482
"Uppsala (Bergsbrunna)";"totalt";"män";721
"Uppsala (Bergsbrunna)";"totalt";"kvinnor";678
"Uppsala (Bergsbrunna)";"totalt";"totalt";1399
"Uppsala (Björklinge)";"totalt";"män";1821
"Uppsala (Björklinge)";"totalt";"kvinnor";1711
"Uppsala (Björklinge)";"totalt";"totalt";3532
"Uppsala (Bäcklösa-Ultuna-Södra Ulleråker)";"totalt";"män";1754
"Uppsala (Bäcklösa-Ultuna-Södra Ulleråker)";"totalt";"kvinnor";2070
"Uppsala (Bäcklösa-Ultuna-Södra Ulleråker)";"totalt";"totalt";3824
"Uppsala (Bälinge-Lövstalöt)";"totalt";"män";2050
"Uppsala (Bälinge-Lövstalöt)";"totalt";"kvinnor";1966
"Uppsala (Bälinge-Lövstalöt)";"totalt";"totalt";4016
"Uppsala (Främre Luthagen-Fjärdingen-Glunten)";"totalt";"män";2899
"Uppsala (Främre Luthagen-Fjärdingen-Glunten)";"totalt";"kvinnor";3362
"Uppsala (Främre Luthagen-Fjärdingen-Glunten)";"totalt";"totalt";6261
"Uppsala (Gamla Gottsunda-Vårdsätra-Vreta)";"totalt";"män";1575
"Uppsala (Gamla Gottsunda-Vårdsätra-Vreta)";"totalt";"kvinnor";1575
"Uppsala (Gamla Gottsunda-Vårdsätra-Vreta)";"totalt";"totalt";3150
"Uppsala (Gamla Uppsala)";"totalt";"män";1469
"Uppsala (Gamla Uppsala)";"totalt";"kvinnor";1428
"Uppsala (Gamla Uppsala)";"totalt";"totalt";2897
"Uppsala (Gunsta-Marielund-Länna)";"totalt";"män";1617
"Uppsala (Gunsta-Marielund-Länna)";"totalt";"kvinnor";1519
"Uppsala (Gunsta-Marielund-Länna)";"totalt";"totalt";3136
"Uppsala (Kungsängen)";"totalt";"män";4101
"Uppsala (Kungsängen)";"totalt";"kvinnor";4326
"Uppsala (Kungsängen)";"totalt";"totalt";8427
"Uppsala (Kvarngärdet)";"totalt";"män";2038
"Uppsala (Kvarngärdet)";"totalt";"kvinnor";2090
"Uppsala (Kvarngärdet)";"totalt";"totalt";4128
"Uppsala (Kåbo-Norra Rosendal)";"totalt";"män";2969
"Uppsala (Kåbo-Norra Rosendal)";"totalt";"kvinnor";3202
"Uppsala (Kåbo-Norra Rosendal)";"totalt";"totalt";6171
"Uppsala (Lindbacken-Jälla)";"totalt";"män";1583
"Uppsala (Lindbacken-Jälla)";"totalt";"kvinnor";1524
"Uppsala (Lindbacken-Jälla)";"totalt";"totalt";3107
"Uppsala (Löten)";"totalt";"män";2450
"Uppsala (Löten)";"totalt";"kvinnor";2527
"Uppsala (Löten)";"totalt";"totalt";4977
"Uppsala (Mellersta Luthagen-Rickomberga)";"totalt";"män";2173
"Uppsala (Mellersta Luthagen-Rickomberga)";"totalt";"kvinnor";2507
"Uppsala (Mellersta Luthagen-Rickomberga)";"totalt";"totalt";4680
"Uppsala (Mellersta Sala backe)";"totalt";"män";2261
"Uppsala (Mellersta Sala backe)";"totalt";"kvinnor";2415
"Uppsala (Mellersta Sala backe)";"totalt";"totalt";4676
"Uppsala (Mellersta Valsätra-Gottsunda centrum-Östra Gottsunda)";"totalt";"män";1948
"Uppsala (Mellersta Valsätra-Gottsunda centrum-Östra Gottsunda)";"totalt";"kvinnor";2032
"Uppsala (Mellersta Valsätra-Gottsunda centrum-Östra Gottsunda)";"totalt";"totalt";3980
"Uppsala (Norby-Norra Valsätra)";"totalt";"män";2583
"Uppsala (Norby-Norra Valsätra)";"totalt";"kvinnor";2744
"Uppsala (Norby-Norra Valsätra)";"totalt";"totalt";5327
"Uppsala (Nordvästra Luthagen-Hällby)";"totalt";"män";1763
"Uppsala (Nordvästra Luthagen-Hällby)";"totalt";"kvinnor";1983
"Uppsala (Nordvästra Luthagen-Hällby)";"totalt";"totalt";3746
"Uppsala (Norra Luthagen-Börjetull-Husbyborg)";"totalt";"män";1622
"Uppsala (Norra Luthagen-Börjetull-Husbyborg)";"totalt";"kvinnor";1730
"Uppsala (Norra Luthagen-Börjetull-Husbyborg)";"totalt";"totalt";3352
"Uppsala (Norra Sala backe)";"totalt";"män";1285
"Uppsala (Norra Sala backe)";"totalt";"kvinnor";1443
"Uppsala (Norra Sala backe)";"totalt";"totalt";2728
"Uppsala (Norra Sävja)";"totalt";"män";1173
"Uppsala (Norra Sävja)";"totalt";"kvinnor";1266
"Uppsala (Norra Sävja)";"totalt";"totalt";2439
"Uppsala (Norra Ulleråker-Polacksbacken)";"totalt";"män";537
"Uppsala (Norra Ulleråker-Polacksbacken)";"totalt";"kvinnor";553
"Uppsala (Norra Ulleråker-Polacksbacken)";"totalt";"totalt";1090
"Uppsala (Nyby)";"totalt";"män";2253
"Uppsala (Nyby)";"totalt";"kvinnor";2418
"Uppsala (Nyby)";"totalt";"totalt";4671
"Uppsala (Nåntuna-Vilan)";"totalt";"män";1631
"Uppsala (Nåntuna-Vilan)";"totalt";"kvinnor";1684
"Uppsala (Nåntuna-Vilan)";"totalt";"totalt";3315
"Uppsala (Slavsta-Fyrislund-Danmarksby)";"totalt";"män";1188
"Uppsala (Slavsta-Fyrislund-Danmarksby)";"totalt";"kvinnor";1185
"Uppsala (Slavsta-Fyrislund-Danmarksby)";"totalt";"totalt";2373
"Uppsala (Sommarro-Kungsgärdet)";"totalt";"män";1136
"Uppsala (Sommarro-Kungsgärdet)";"totalt";"kvinnor";1210
"Uppsala (Sommarro-Kungsgärdet)";"totalt";"totalt";2346
"Uppsala (Studentstaden)";"totalt";"män";2058
"Uppsala (Studentstaden)";"totalt";"kvinnor";2279
"Uppsala (Studentstaden)";"totalt";"totalt";4337
"Uppsala (Sunnersta)";"totalt";"män";3159
"Uppsala (Sunnersta)";"totalt";"kvinnor";3082
"Uppsala (Sunnersta)";"totalt";"totalt";6241
"Uppsala (Sydöstra Luthagen)";"totalt";"män";1743
"Uppsala (Sydöstra Luthagen)";"totalt";"kvinnor";2147
"Uppsala (Sydöstra Luthagen)";"totalt";"totalt";3890
"Uppsala (Södra Rosendal-Malma gård)";"totalt";"män";1406
"Uppsala (Södra Rosendal-Malma gård)";"totalt";"kvinnor";1539
"Uppsala (Södra Rosendal-Malma gård)";"totalt";"totalt";2945
"Uppsala (Södra Sala backe)";"totalt";"män";2487
"Uppsala (Södra Sala backe)";"totalt";"kvinnor";2554
"Uppsala (Södra Sala backe)";"totalt";"totalt";5041
"Uppsala (Södra Sävja)";"totalt";"män";1307
"Uppsala (Södra Sävja)";"totalt";"kvinnor";1387
"Uppsala (Södra Sävja)";"totalt";"totalt";2694
"Uppsala (Södra Valsätra-Norra Gottsunda)";"totalt";"män";2681
"Uppsala (Södra Valsätra-Norra Gottsunda)";"totalt";"kvinnor";2418
"Uppsala (Södra Valsätra-Norra Gottsunda)";"totalt";"totalt";5099
"Uppsala (Uppsala centrum)";"totalt";"män";2641
"Uppsala (Uppsala centrum)";"totalt";"kvinnor";2806
"Uppsala (Uppsala centrum)";"totalt";"totalt";5447
"Uppsala (Uppsala inre norra omland)";"totalt";"män";1773
"Uppsala (Uppsala inre norra omland)";"totalt";"kvinnor";1615
"Uppsala (Uppsala inre norra omland)";"totalt";"totalt";3388
"Uppsala (Uppsala inre östra omland)";"totalt";"män";2459
"Uppsala (Uppsala inre östra omland)";"totalt";"kvinnor";2250
"Uppsala (Uppsala inre östra omland)";"totalt";"totalt";4709
"Uppsala (Uppsala nordvästra omland)";"totalt";"män";3475
"Uppsala (Uppsala nordvästra omland)";"totalt";"kvinnor";3241
"Uppsala (Uppsala nordvästra omland)";"totalt";"totalt";6716
"Uppsala (Uppsala nordöstra centrum-Höganäs)";"totalt";"män";1970
"Uppsala (Uppsala nordöstra centrum-Höganäs)";"totalt";"kvinnor";2087
"Uppsala (Uppsala nordöstra centrum-Höganäs)";"totalt";"totalt";4057
"Uppsala (Uppsala sydöstra Centrum-Västra Fålhagen)";"totalt";"män";2117
"Uppsala (Uppsala sydöstra Centrum-Västra Fålhagen)";"totalt";"kvinnor";2307
"Uppsala (Uppsala sydöstra Centrum-Västra Fålhagen)";"totalt";"totalt";4424
"Uppsala (Uppsala västra omland)";"totalt";"män";3509
"Uppsala (Uppsala västra omland)";"totalt";"kvinnor";3262
"Uppsala (Uppsala västra omland)";"totalt";"totalt";6771
"Uppsala (Uppsala yttre norra omland)";"totalt";"män";2869
"Uppsala (Uppsala yttre norra omland)";"totalt";"kvinnor";2704
"Uppsala (Uppsala yttre norra omland)";"totalt";"totalt";5573
"Uppsala (Uppsala yttre östra omland)";"totalt";"män";2693
"Uppsala (Uppsala yttre östra omland)";"totalt";"kvinnor";2479
"Uppsala (Uppsala yttre östra omland)";"totalt";"totalt";5172
"Uppsala (Vattholma)";"totalt";"män";722
"Uppsala (Vattholma)";"totalt";"kvinnor";699
"Uppsala (Vattholma)";"totalt";"totalt";1421
"Uppsala (Vänge)";"totalt";"män";642
"Uppsala (Vänge)";"totalt";"kvinnor";670
"Uppsala (Vänge)";"totalt";"totalt";1312
"Uppsala (Västra Eriksberg-Håga)";"totalt";"män";1402
"Uppsala (Västra Eriksberg-Håga)";"totalt";"kvinnor";1470
"Uppsala (Västra Eriksberg-Håga)";"totalt";"totalt";2872
"Uppsala (Västra Flogsta)";"totalt";"män";1868
"Uppsala (Västra Flogsta)";"totalt";"kvinnor";1843
"Uppsala (Västra Flogsta)";"totalt";"totalt";3711
"Uppsala (Västra Gottsunda)";"totalt";"män";1564
"Uppsala (Västra Gottsunda)";"totalt";"kvinnor";1566
"Uppsala (Västra Gottsunda)";"totalt";"totalt";3130
"Uppsala (Västra Gränby)";"totalt";"män";2551
"Uppsala (Västra Gränby)";"totalt";"kvinnor";2499
"Uppsala (Västra Gränby)";"totalt";"totalt";5050
"Uppsala (Västra Kapellgärdet)";"totalt";"män";2012
"Uppsala (Västra Kapellgärdet)";"totalt";"kvinnor";2064
"Uppsala (Västra Kapellgärdet)";"totalt";"totalt";4076
"Uppsala (Västra Stenhagen)";"totalt";"män";1552
"Uppsala (Västra Stenhagen)";"totalt";"kvinnor";1606
"Uppsala (Västra Stenhagen)";"totalt";"totalt";3158
"Uppsala (Västra Storvreta)";"totalt";"män";1726
"Uppsala (Västra Storvreta)";"totalt";"kvinnor";1705
"Uppsala (Västra Storvreta)";"totalt";"totalt";3431
"Uppsala (Västra Svartbäcken-Tuna backar)";"totalt";"män";2579
"Uppsala (Västra Svartbäcken-Tuna backar)";"totalt";"kvinnor";3081
"Uppsala (Västra Svartbäcken-Tuna backar)";"totalt";"totalt";5660
"Uppsala (Årsta)";"totalt";"män";3073
"Uppsala (Årsta)";"totalt";"kvinnor";3299
"Uppsala (Årsta)";"totalt";"totalt";6372
"Uppsala (Östra Eriksberg)";"totalt";"män";1557
"Uppsala (Östra Eriksberg)";"totalt";"kvinnor";1542
"Uppsala (Östra Eriksberg)";"totalt";"totalt";3099
"Uppsala (Östra Flogsta-Ekeby-Berthåga)";"totalt";"män";2251
"Uppsala (Östra Flogsta-Ekeby-Berthåga)";"totalt";"kvinnor";2366
"Uppsala (Östra Flogsta-Ekeby-Berthåga)";"totalt";"totalt";4617
"Uppsala (Östra Fålhagen-Boländerna)";"totalt";"män";1842
"Uppsala (Östra Fålhagen-Boländerna)";"totalt";"kvinnor";1951
"Uppsala (Östra Fålhagen-Boländerna)";"totalt";"totalt";3793
"Uppsala (Östra Gränby-Brillinge)";"totalt";"män";1862
"Uppsala (Östra Gränby-Brillinge)";"totalt";"kvinnor";1894
"Uppsala (Östra Gränby-Brillinge)";"totalt";"totalt";3756
"Uppsala (Östra Kapellgärdet)";"totalt";"män";2410
"Uppsala (Östra Kapellgärdet)";"totalt";"kvinnor";2631
"Uppsala (Östra Kapellgärdet)";"totalt";"totalt";5041
"Uppsala (Östra Stenhagen-Kvarnbo)";"totalt";"män";1196
"Uppsala (Östra Stenhagen-Kvarnbo)";"totalt";"kvinnor";1301
"Uppsala (Östra Stenhagen-Kvarnbo)";"totalt";"totalt";2497
"Uppsala (Östra Storvreta)";"totalt";"män";1459
"Uppsala (Östra Storvreta)";"totalt";"kvinnor";1420
"Uppsala (Östra Storvreta)";"totalt";"totalt";2879
"Uppsala (Östra Svartbäcken-Bärby hage)";"totalt";"män";1603
"Uppsala (Östra Svartbäcken-Bärby hage)";"totalt";"kvinnor";1599
"Uppsala (Östra Svartbäcken-Bärby hage)";"totalt";"totalt";3202
"Enköping (Bergvreten-Gånsta-Åkersberg)";"totalt";"män";2389
"Enköping (Bergvreten-Gånsta-Åkersberg)";"totalt";"kvinnor";2258
"Enköping (Bergvreten-Gånsta-Åkersberg)";"totalt";"totalt";4647
"Enköping (Bredsand-Haga)";"totalt";"män";1132
"Enköping (Bredsand-Haga)";"totalt";"kvinnor";1137
"Enköping (Bredsand-Haga)";"totalt";"totalt";2269
"Enköping (Enköping centrum-Sankt Ilian)";"totalt";"män";2927
"Enköping (Enköping centrum-Sankt Ilian)";"totalt";"kvinnor";3092
"Enköping (Enköping centrum-Sankt Ilian)";"totalt";"totalt";6019
"Enköping (Fanna-Korsängen-Älvdansen)";"totalt";"män";2637
"Enköping (Fanna-Korsängen-Älvdansen)";"totalt";"kvinnor";2604
"Enköping (Fanna-Korsängen-Älvdansen)";"totalt";"totalt";5241
"Enköping (Fjärdhundra)";"totalt";"män";1902
"Enköping (Fjärdhundra)";"totalt";"kvinnor";1770
"Enköping (Fjärdhundra)";"totalt";"totalt";3672
"Enköping (Galgvreten-Västerleden)";"totalt";"män";3060
"Enköping (Galgvreten-Västerleden)";"totalt";"kvinnor";3038
"Enköping (Galgvreten-Västerleden)";"totalt";"totalt";6098
"Enköping (Lagunda)";"totalt";"män";2308
"Enköping (Lagunda)";"totalt";"kvinnor";2179
"Enköping (Lagunda)";"totalt";"totalt";4487
"Enköping (Munksundet-Gröngarn)";"totalt";"män";1113
"Enköping (Munksundet-Gröngarn)";"totalt";"kvinnor";1189
"Enköping (Munksundet-Gröngarn)";"totalt";"totalt";2302
"Enköping (Romberga)";"totalt";"män";1190
"Enköping (Romberga)";"totalt";"kvinnor";1049
"Enköping (Romberga)";"totalt";"totalt";2239
"Enköping (Trögd)";"totalt";"män";3494
"Enköping (Trögd)";"totalt";"kvinnor";3239
"Enköping (Trögd)";"totalt";"totalt";6733
"Enköping (Åsunda)";"totalt";"män";2354
"Enköping (Åsunda)";"totalt";"kvinnor";2231
"Enköping (Åsunda)";"totalt";"totalt";4585
"Östhammar (Alunda)";"totalt";"män";1376
"Östhammar (Alunda)";"totalt";"kvinnor";1386
"Östhammar (Alunda)";"totalt";"totalt";2762
"Östhammar (Alunda omland)";"totalt";"män";981
"Östhammar (Alunda omland)";"totalt";"kvinnor";907
"Östhammar (Alunda omland)";"totalt";"totalt";1888
"Östhammar (Gimo)";"totalt";"män";1428
"Östhammar (Gimo)";"totalt";"kvinnor";1406
"Östhammar (Gimo)";"totalt";"totalt";2834
"Östhammar (Gimo omland)";"totalt";"män";746
"Östhammar (Gimo omland)";"totalt";"kvinnor";643
"Östhammar (Gimo omland)";"totalt";"totalt";1389
"Östhammar (Öregrund)";"totalt";"män";819
"Östhammar (Öregrund)";"totalt";"kvinnor";784
"Östhammar (Öregrund)";"totalt";"totalt";1603
"Östhammar (Öregrund omland)";"totalt";"män";825
"Östhammar (Öregrund omland)";"totalt";"kvinnor";686
"Östhammar (Öregrund omland)";"totalt";"totalt";1511
"Östhammar (Österbybruk)";"totalt";"män";1308
"Östhammar (Österbybruk)";"totalt";"kvinnor";1292
"Östhammar (Österbybruk)";"totalt";"totalt";2600
"Östhammar (Österbybruk omland)";"totalt";"män";594
"Östhammar (Österbybruk omland)";"totalt";"kvinnor";538
"Östhammar (Österbybruk omland)";"totalt";"totalt";1132
"Östhammar (Östhammar)";"totalt";"män";2590
"Östhammar (Östhammar)";"totalt";"kvinnor";2483
