"region";"ålder";"kön";"2023"
"Österåker (Täljö-Runö)";"totalt";"män";1403
"Österåker (Täljö-Runö)";"totalt";"kvinnor";1332
"Österåker (Täljö-Runö)";"totalt";"totalt";2735
"Österåker (Österskär)";"totalt";"män";1314
"Österåker (Österskär)";"totalt";"kvinnor";1325
"Österåker (Österskär)";"totalt";"totalt";2639
"Värmdö (Björnkärret-Nyhem)";"totalt";"män";1010
"Värmdö (Björnkärret-Nyhem)";"totalt";"kvinnor";1098
"Värmdö (Björnkärret-Nyhem)";"totalt";"totalt";2108
"Värmdö (Djurö-Vindö)";"totalt";"män";1063
"Värmdö (Djurö-Vindö)";"totalt";"kvinnor";950
"Värmdö (Djurö-Vindö)";"totalt";"totalt";2013
"Värmdö (Farstalandet-Charlottendal)";"totalt";"män";2443
"Värmdö (Farstalandet-Charlottendal)";"totalt";"kvinnor";2739
"Värmdö (Farstalandet-Charlottendal)";"totalt";"totalt";5182
"Värmdö (Hagaberg)";"totalt";"män";999
"Värmdö (Hagaberg)";"totalt";"kvinnor";1008
"Värmdö (Hagaberg)";"totalt";"totalt";2007
"Värmdö (Hemmesta)";"totalt";"män";1772
"Värmdö (Hemmesta)";"totalt";"kvinnor";1772
"Värmdö (Hemmesta)";"totalt";"totalt";3544
"Värmdö (Herrviksnäs-Strömma-Hässelmara)";"totalt";"män";1234
"Värmdö (Herrviksnäs-Strömma-Hässelmara)";"totalt";"kvinnor";1177
"Värmdö (Herrviksnäs-Strömma-Hässelmara)";"totalt";"totalt";2411
"Värmdö (Ingarö norr)";"totalt";"män";2299
"Värmdö (Ingarö norr)";"totalt";"kvinnor";2119
"Värmdö (Ingarö norr)";"totalt";"totalt";4418
"Värmdö (Ingarö söder)";"totalt";"män";1838
"Värmdö (Ingarö söder)";"totalt";"kvinnor";1705
"Värmdö (Ingarö söder)";"totalt";"totalt";3543
"Värmdö (Kvarnberget-Hästhagen)";"totalt";"män";1143
"Värmdö (Kvarnberget-Hästhagen)";"totalt";"kvinnor";1368
"Värmdö (Kvarnberget-Hästhagen)";"totalt";"totalt";2511
"Värmdö (Munkmora-Ösby grind)";"totalt";"män";973
"Värmdö (Munkmora-Ösby grind)";"totalt";"kvinnor";936
"Värmdö (Munkmora-Ösby grind)";"totalt";"totalt";1909
"Värmdö (Mörtnäs)";"totalt";"män";1468
"Värmdö (Mörtnäs)";"totalt";"kvinnor";1482
"Värmdö (Mörtnäs)";"totalt";"totalt";2950
"Värmdö (Norra Värdölandet-Skärgården)";"totalt";"män";2018
"Värmdö (Norra Värdölandet-Skärgården)";"totalt";"kvinnor";1709
"Värmdö (Norra Värdölandet-Skärgården)";"totalt";"totalt";3727
"Värmdö (Ormingelandet)";"totalt";"män";700
"Värmdö (Ormingelandet)";"totalt";"kvinnor";649
"Värmdö (Ormingelandet)";"totalt";"totalt";1349
"Värmdö (Skeppsdalsström)";"totalt";"män";431
"Värmdö (Skeppsdalsström)";"totalt";"kvinnor";381
"Värmdö (Skeppsdalsström)";"totalt";"totalt";812
"Värmdö (Stavsnäs)";"totalt";"män";887
"Värmdö (Stavsnäs)";"totalt";"kvinnor";797
"Värmdö (Stavsnäs)";"totalt";"totalt";1684
"Värmdö (Torsby)";"totalt";"män";757
"Värmdö (Torsby)";"totalt";"kvinnor";701
"Värmdö (Torsby)";"totalt";"totalt";1458
"Värmdö (Älvsala-Skärmarö)";"totalt";"män";840
"Värmdö (Älvsala-Skärmarö)";"totalt";"kvinnor";711
"Värmdö (Älvsala-Skärmarö)";"totalt";"totalt";1551
"Värmdö (Ösbydalen-Holmviksskogen)";"totalt";"män";940
"Värmdö (Ösbydalen-Holmviksskogen)";"totalt";"kvinnor";1007
"Värmdö (Ösbydalen-Holmviksskogen)";"totalt";"totalt";1947
"Värmdö (Östra Ekedal-Höjdhagen)";"totalt";"män";708
"Värmdö (Östra Ekedal-Höjdhagen)";"totalt";"kvinnor";805
"Värmdö (Östra Ekedal-Höjdhagen)";"totalt";"totalt";1513
"Järfälla (Barkarby västra-Skälby östra)";"totalt";"män";2120
"Järfälla (Barkarby västra-Skälby östra)";"totalt";"kvinnor";1863
"Järfälla (Barkarby västra-Skälby östra)";"totalt";"totalt";3983
"Järfälla (Barkarby östra-Veddesta)";"totalt";"män";1617
"Järfälla (Barkarby östra-Veddesta)";"totalt";"kvinnor";1708
"Järfälla (Barkarby östra-Veddesta)";"totalt";"totalt";3325
"Järfälla (Barkarbystaden norra)";"totalt";"män";3182
"Järfälla (Barkarbystaden norra)";"totalt";"kvinnor";3032
"Järfälla (Barkarbystaden norra)";"totalt";"totalt";6214
"Järfälla (Bolinder Strand)";"totalt";"män";960
"Järfälla (Bolinder Strand)";"totalt";"kvinnor";966
"Järfälla (Bolinder Strand)";"totalt";"totalt";1926
"Järfälla (Centrala Jakobsberg)";"totalt";"män";2799
"Järfälla (Centrala Jakobsberg)";"totalt";"kvinnor";2826
"Järfälla (Centrala Jakobsberg)";"totalt";"totalt";5625
"Järfälla (Centrala Kallhäll)";"totalt";"män";2277
"Järfälla (Centrala Kallhäll)";"totalt";"kvinnor";2385
"Järfälla (Centrala Kallhäll)";"totalt";"totalt";4662
"Järfälla (Centrala Söderhöjden)";"totalt";"män";580
"Järfälla (Centrala Söderhöjden)";"totalt";"kvinnor";536
"Järfälla (Centrala Söderhöjden)";"totalt";"totalt";1116
"Järfälla (Centrala Viksjö norra)";"totalt";"män";1090
"Järfälla (Centrala Viksjö norra)";"totalt";"kvinnor";1115
"Järfälla (Centrala Viksjö norra)";"totalt";"totalt";2205
"Järfälla (Centrala Viksjö södra)";"totalt";"män";1814
"Järfälla (Centrala Viksjö södra)";"totalt";"kvinnor";1954
"Järfälla (Centrala Viksjö södra)";"totalt";"totalt";3768
"Järfälla (Fjällen-Fastebol)";"totalt";"män";1916
"Järfälla (Fjällen-Fastebol)";"totalt";"kvinnor";1837
"Järfälla (Fjällen-Fastebol)";"totalt";"totalt";3753
"Järfälla (Hammaren västra)";"totalt";"män";1225
"Järfälla (Hammaren västra)";"totalt";"kvinnor";1226
"Järfälla (Hammaren västra)";"totalt";"totalt";2451
"Järfälla (Jakobsberg norra)";"totalt";"män";2430
"Järfälla (Jakobsberg norra)";"totalt";"kvinnor";2285
"Järfälla (Jakobsberg norra)";"totalt";"totalt";4715
"Järfälla (Jakobsberg västra)";"totalt";"män";1909
"Järfälla (Jakobsberg västra)";"totalt";"kvinnor";1781
"Järfälla (Jakobsberg västra)";"totalt";"totalt";3690
"Järfälla (Kolarängen-Villastaden)";"totalt";"män";1141
"Järfälla (Kolarängen-Villastaden)";"totalt";"kvinnor";1083
"Järfälla (Kolarängen-Villastaden)";"totalt";"totalt";2224
"Järfälla (Lädersättra)";"totalt";"män";1183
"Järfälla (Lädersättra)";"totalt";"kvinnor";1084
"Järfälla (Lädersättra)";"totalt";"totalt";2267
"Järfälla (Nibble)";"totalt";"män";1129
"Järfälla (Nibble)";"totalt";"kvinnor";1166
"Järfälla (Nibble)";"totalt";"totalt";2295
"Järfälla (Nyberg-Hammaren östra)";"totalt";"män";2136
"Järfälla (Nyberg-Hammaren östra)";"totalt";"kvinnor";1828
"Järfälla (Nyberg-Hammaren östra)";"totalt";"totalt";3964
"Järfälla (Skogstorp)";"totalt";"män";537
"Järfälla (Skogstorp)";"totalt";"kvinnor";466
"Järfälla (Skogstorp)";"totalt";"totalt";1003
"Järfälla (Skälby västra)";"totalt";"män";3247
"Järfälla (Skälby västra)";"totalt";"kvinnor";3194
"Järfälla (Skälby västra)";"totalt";"totalt";6441
"Järfälla (Stäket)";"totalt";"män";1404
"Järfälla (Stäket)";"totalt";"kvinnor";1247
